C Model number | time (yr)  |  Temperature (GK)  | density (cm^-3) 
C 64000  1.67365429706e+16  0.0712476345758  711.176972548
C Mass coordinate that is really used
C 0.61592668921
D RU   100    1.45640461525e-08
D RU   101    3.38855818255e-09
D RU   102    2.12889210418e-08
D RU   103    1.0299074778e-15
D RU   104    1.79932601843e-09
D RH   103    3.84694823016e-09
D PD   102    3.31812277615e-13
D PD   103    4.91246473895e-19
D PD   104    1.0974766938e-08
D PD   105    3.06684386418e-09
D PD   106    1.366066185e-08
D PD   107    2.72120985667e-09
D PD   108    1.71428392192e-08
D PD   109    3.62015871385e-16
D PD   110    1.77927594161e-09
D AG   107    1.33214255603e-11
D AG   108    2.38440603575e-21
D AG   109    5.03449792872e-09
D CD   106    6.29754393525e-13
D CD   107    1.01562104333e-20
D CD   108    3.44935484904e-11
D CD   109    7.13089671759e-16
D CD   110    1.41198164696e-08
D CD   111    5.04530847227e-09
D CD   112    1.91878602569e-08
D CD   113    5.66183140654e-09
D CD   114    2.83811312982e-08
D CD   115    2.74707102974e-14
D CD   116    4.88637763106e-09
D IN   113    6.72958739717e-13
D IN   114    8.84347831368e-23
D IN   115    5.69767180971e-09
D SN   112    2.23515151315e-12
D SN   113    1.00846775737e-17
D SN   114    1.30211731077e-11
D SN   115    7.14004680088e-12
D SN   116    3.52605687199e-08
D SN   117    1.19994877039e-08
D SN   118    5.80834907533e-08
D SN   119    1.7623391479e-08
D SN   120    9.00875860059e-08
D SN   121    1.81707701726e-15
D SN   122    1.14756671412e-08
D SN   123    2.38346443386e-16
D SN   124    5.07377740475e-10
D SB   121    7.1950203315e-09
D SB   122    1.71084343677e-15
D SB   123    1.74176278816e-09
D TE   120    1.02729336204e-13
D TE   121    1.72959850053e-19
D TE   122    1.09002206285e-08
D TE   123    3.75004177155e-09
D TE   124    2.14681410628e-08
D TE   125    7.11974465006e-09
D TE   126    4.04158820103e-08
D TE   127    2.61801181036e-16
D TE   128    5.83171563829e-09
D TE   129    1.76428846375e-18
D TE   130    3.02504066627e-09
D I   127    5.37722771491e-09
D I   128    1.07298906398e-17
D I   129    3.75469743962e-13
D XE   124    1.30734197135e-13
D XE   125    1.52868669622e-20
D XE   126    2.29615174144e-13
D XE   127    5.88585887111e-19
D XE   128    1.25475183017e-08
D XE   129    5.52609438016e-09
D XE   130    2.70031430597e-08
D XE   131    1.05135959165e-08
D XE   132    5.57666311706e-08
D XE   134    9.02231206024e-09
D XE   135    1.11358043787e-17
D XE   136    1.45056684094e-09
D CS   133    7.8409215835e-09
D CS   134    3.92757266311e-13
D CS   135    6.40245286874e-09
D BA   130    1.05438182218e-13
D BA   131    1.8296313891e-19
D BA   132    1.72620548396e-13
D BA   133    3.49007614427e-19
D BA   134    1.73609796627e-08
D BA   135    5.60801328229e-09
D BA   136    5.31416780607e-08
D BA   137    4.65953367438e-08
D BA   138    4.07551603192e-07
D LA   138    2.72173834811e-14
D LA   139    4.44571999683e-08
D CE   136    8.46445370048e-14
D CE   137    2.09844947523e-21
D CE   138    3.62709051411e-13
D CE   139    1.75361793966e-18
