H initial abundance iniab1.0E-02.ppn_asplund05
  Z   species  mass fraction   
  57  la138    1.0074801045e-12
  57  la139    1.1243935424e-09
  58  ce136    5.7722771489e-12
  58  ce138    7.904021817e-12 
  58  ce140    2.825636457e-09 
  58  ce142    3.6012565342e-10
  59  pr141    4.3402468955e-10
  60  nd142    6.5239921897e-10
  60  nd143    2.9487303889e-10
  60  nd144    5.8047277684e-10
  60  nd145    2.0358295651e-10
  60  nd146    4.2405137269e-10
  60  nd148    1.4370402427e-10
  60  nd150    1.4260110705e-10
  62  sm144    2.7181717935e-11
  62  sm147    1.353669939e-10 
  62  sm148    1.0217544349e-10
  62  sm149    1.2646054961e-10
  62  sm150    6.7985986501e-11
  62  sm152    2.4965163743e-10
  62  sm154    2.1519670749e-10
  63  eu151    1.4347988286e-10
  63  eu153    1.5869894883e-10
  64  gd152    2.4401749103e-12
  64  gd154    2.6573685804e-11
  64  gd155    1.815026069e-10 
  64  gd156    2.526163051e-10 
  64  gd157    1.944282041e-10 
  64  gd158    3.1046405643e-10
  64  gd160    2.7678018289e-10
  65  tb159    1.8184126618e-10
  66  dy156    7.2378228255e-13
  66  dy158    1.2566769301e-12
  66  dy160    3.1019240681e-11
  66  dy161    2.5223928537e-10
  66  dy162    3.4238978211e-10
  66  dy163    3.3626547049e-10
  66  dy164    3.8303128404e-10
  67  ho165    3.2046401288e-10
  68  er162    1.1337855148e-12
  68  er164    1.3480165202e-11
  68  er166    2.8501776026e-10
  68  er167    1.9562116832e-10
  68  er168    2.2992030018e-10
  68  er170    2.3265744661e-10
  69  tm169    1.0143364383e-10
  70  yb168    1.5759700379e-12
  70  yb170    3.7292184779e-11
  70  yb171    1.7620557308e-10
  70  yb172    2.7094273166e-10
  70  yb173    2.0136120105e-10
  70  yb174    3.9965128101e-10
  70  yb176    1.6205359305e-10
  71  lu175    1.1747992597e-10
  71  lu176    3.1340108783e-12
  72  hf174    1.2833927609e-12
  72  hf176    4.2071097151e-11
  72  hf177    1.4987130389e-10
  72  hf178    2.2111762735e-10
  72  hf179    1.1102100899e-10
  72  hf180    2.8752587243e-10
  73  ta180    8.9840661088e-15
  73  ta181    7.3437938276e-11
  74  w 180    1.6673418292e-12
  74  w 182    3.7289623715e-10
  74  w 183    2.0253276355e-10
  74  w 184    4.3594639265e-10
  74  w 186    4.0881092242e-10
  75  re185    5.36020346e-11  
  75  re187    1.1932326745e-10
  76  os184    6.1628037155e-13
  76  os186    5.0096327133e-11
  76  os187    5.2004238599e-11
  76  os188    4.2253604563e-10
  76  os189    5.1790570378e-10
  76  os190    8.4669568014e-10
  76  os192    1.3288336431e-09
  77  ir191    1.0249705499e-09
  77  ir193    1.7430669658e-09
  78  pt190    6.7869119213e-13
  78  pt192    3.9370387537e-11
  78  pt194    1.6756236464e-09
  78  pt195    1.728430645e-09 
  78  pt196    1.2961919096e-09
  78  pt198    3.7160809989e-10
  79  au197    1.2099336315e-09
  80  hg196    2.4349496408e-12
  80  hg198    1.5979697069e-10
  80  hg199    2.7185711601e-10
  80  hg200    3.7399180763e-10
  80  hg201    2.1450614593e-10
  80  hg202    4.8840502792e-10
  80  hg204    1.1338772231e-10
  81  tl203    2.8573705022e-10
  81  tl205    6.88795705e-10  
  82  pb204    2.4267729198e-10
  82  pb206    2.3164266798e-09
  82  pb207    2.806608905e-09 
  82  pb208    7.3273042636e-09
  83  bi209    5.6032707563e-10
  90  th232    1.598760123e-10 
  92  u 235    3.0668722165e-13
  92  u 238    4.2826244086e-11
