#Iso		Abu		Error		rel. Error
# from Kadonis 25.5.2012
ER164(n,g)	1.0840e+3	5.1000e+1	4.7%
ER166(n,g)	5.6300e+2	5.6000e+1	9.9%
ER167(n,g)	1.4250e+3	1.4300e+2	10.0%
ER168(n,g)	3.3800e+2	4.4000e+1	13.0%
ER169(n,g)	6.5300e+2	1.1400e+2	17.5%
ER170(n,g)	1.7000e+2	7.0000e+0	4.1%
TM169(n,g)	1.1290e+3	5.6000e+1	5.0%
TM170(n,g)	1.8700e+3	3.3000e+2	17.6%
TM171(n,g)	4.8600e+2	1.4400e+2	29.6%
YB168(n,g)	1.2140e+3	4.9000e+1	4.0%
YB170(n,g)	7.6800e+2	7.0000e+0	0.9%
YB171(n,g)	1.2100e+3	1.2000e+1	1.0%
YB172(n,g)	3.4100e+2	3.0000e+0	0.9%
YB173(n,g)	7.5400e+2	7.0000e+0	0.9%
YB174(n,g)	1.5100e+2	1.7000e+0	1.1%
YB175(n,g)	5.5800e+2	8.3000e+1	14.9%
YB176(n,g)	1.1600e+2	2.0000e+0	1.7%
LU175(n,g)	1.2190e+3	1.0000e+1	0.8%
LU176(n,g)	1.6390e+3	1.4000e+1	0.9%
HF174(n,g)	9.8300e+2	4.6000e+1	4.7%
HF176(n,g)	6.2600e+2	1.1000e+1	1.8%
HF177(n,g)	1.5440e+3	1.2000e+1	0.8%
HF178(n,g)	3.1900e+2	3.0000e+0	0.9%
HF179(n,g)	9.2200e+2	8.0000e+0	0.9%
HF180(n,g)	1.5700e+2	2.0000e+0	1.3%
HF181(n,g)	1.9400e+2	3.1000e+1	16.0%
HF182(n,g)	1.4100e+2	8.0000e+0	5.7%
TA179(n,g)	1.3340e+3	4.2200e+2	31.6%
TA181(n,g)	7.6600e+2	1.5000e+1	2.0%
TA182(n,g)	1.1200e+3	1.8000e+2	16.1%
W 180(n,g)	6.6000e+2	5.3000e+1	8.0%
W 182(n,g)	2.7400e+2	8.0000e+0	2.9%
W 183(n,g)	5.1500e+2	1.5000e+1	2.9%
W 184(n,g)	2.2300e+2	5.0000e+0	2.2%
W 185(n,g)	5.8400e+2	5.3000e+1	9.1%
W 186(n,g)	2.3500e+2	9.0000e+0	3.8%
